,Loyalty#,Customer Name,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,Customer Lifetime Value,EnrollmentType,IsCancelled,Tenure_months
16,438936,Bernie Schlagel,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,Bachelor,Rural,84981.0,Married,Star,2016-10-30,3878.77,Standard,0,111.0
17,243713,Doloris Buben,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,female,College,Rural,0.0,Married,Star,2021-02-09,3883.4,2021 Promotion,0,58.9
18,354730,Herbert Cantabrana,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,College,Urban,0.0,Married,Star,2017-10-23,3885.46,Standard,1,38.9
19,413741,Mitchell Hinchliff,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Urban,0.0,Married,Star,2018-07-30,3885.46,Standard,0,89.8
20,552965,Lia Broome,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Married,Star,2021-11-18,3885.46,Standard,0,49.5
21,642313,Michel Theuret,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Suburban,0.0,Married,Star,2019-03-22,3885.46,Standard,0,81.9
22,263080,Tracy Hergenreter,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Urban,0.0,Single,Star,2017-05-21,3886.5,Standard,0,104.3
23,109767,Ami Grosbier,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,78108.0,Single,Star,2019-05-21,3886.65,Standard,0,79.9
24,217754,Mitzi Roaoo,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,96335.0,Single,Star,2018-06-20,3887.32,Standard,0,91.1
25,157005,Tanika Quire,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Rural,91182.0,Married,Star,2019-10-31,3890.87,Standard,0,74.5
26,557752,Sherilyn Fujikawa,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,female,Bachelor,Suburban,91182.0,Married,Star,2020-10-09,3890.87,Standard,0,63.0
27,608758,Rhona Interiano,Ontario,Ottawa,45.421532,-75.697189,V5R 1W3,male,Bachelor,Rural,43578.0,Married,Star,2016-07-15,3890.96,Standard,0,114.6
28,599341,Shaunna Books,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,Bachelor,Rural,31409.0,Married,Star,2018-11-22,3891.54,Standard,0,85.9
29,333502,Shawnda Valladares,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Urban,0.0,Married,Star,2017-03-04,3891.58,Standard,0,106.9
30,201574,Trudy Roscoe,Ontario,Ottawa,45.421532,-75.697189,V5R 1W3,female,Bachelor,Suburban,26605.0,Married,Star,2018-04-06,3893.31,Standard,1,8.1
31,403361,Inell Zeno,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,male,Bachelor,Rural,52361.0,Single,Star,2020-10-24,3895.03,Standard,0,62.5
32,543918,Penni Gess,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,male,High School or Below,Urban,10853.0,Married,Star,2015-11-19,3896.57,Standard,0,122.6
33,806030,Rasheeda Simenson,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,female,Bachelor,Urban,60068.0,Married,Star,2021-05-03,3903.47,Standard,0,56.2
34,119200,Bari Seraille,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,51833.0,Divorced,Star,2020-05-08,3903.8,Standard,0,68.2
35,175967,Jolyn Podvin,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Suburban,60230.0,Married,Star,2021-02-15,3906.67,2021 Promotion,0,58.7
36,238119,Aundrea Difranco,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Rural,60230.0,Married,Star,2016-05-19,3906.67,Standard,0,116.5
37,730388,Gaynelle Garnette,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,College,Rural,0.0,Single,Star,2015-05-02,3907.03,Standard,0,129.3
38,834891,Wendell Besley,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,30821.0,Married,Star,2020-03-08,3911.12,Standard,1,1.4
39,127400,Cassandra Easlick,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,2017-06-26,3914.72,Standard,0,103.1
40,324557,Bethanie Kolander,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,College,Urban,0.0,Single,Star,2016-02-24,3914.72,Standard,0,119.3
41,742002,Carolyne Purdue,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Urban,0.0,Single,Star,2019-05-15,3915.8,Standard,0,80.1
42,536567,Clint Maravilla,Alberta,Peace River,56.23418,-117.28938,V5R 1W3,male,Bachelor,Suburban,66676.0,Married,Star,2019-05-12,3919.37,Standard,0,80.2
43,704835,Elvina Kurtich,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Urban,66676.0,Married,Star,2019-09-17,3919.37,Standard,0,76.0
44,733338,Raphael Muskrat,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Rural,66676.0,Married,Star,2019-06-03,3919.37,Standard,1,8.2
45,758635,Stephany Loft,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Suburban,66676.0,Married,Star,2021-06-20,3919.37,Standard,0,54.6
46,823048,Echo Wendy,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,66676.0,Married,Star,2021-05-09,3919.37,Standard,0,56.0
47,612905,Frankie Lapitan,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Rural,0.0,Married,Star,2018-02-28,3920.51,Standard,0,94.8
48,679908,Deon Biery,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,Bachelor,Rural,62445.0,Married,Star,2018-08-15,3921.02,Standard,0,89.2
49,704150,Raymond Hokkanen,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,male,Bachelor,Urban,62445.0,Married,Star,2017-10-27,3921.02,Standard,0,99.0
50,869743,Sima Parton,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,Bachelor,Suburban,56480.0,Single,Star,2019-11-10,3924.42,Standard,1,8.1
51,596179,Kathryne Kloeck,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,Bachelor,Suburban,25927.0,Single,Star,2017-03-28,3933.81,Standard,0,106.1
52,370450,Cathryn Sundell,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,High School or Below,Urban,20920.0,Married,Star,2015-11-02,3934.1,Standard,0,123.1
53,501030,Ciera Kalfa,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,84229.0,Married,Star,2020-03-25,3934.71,Standard,0,69.6
54,878633,Victor Toplin,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Rural,19245.0,Married,Star,2016-12-02,3936.79,Standard,0,109.9
55,285938,Glen Randall,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,Bachelor,Suburban,60021.0,Married,Star,2017-09-03,3939.01,Standard,0,100.8
56,588237,Teresia Mckendry,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,male,Bachelor,Rural,60021.0,Married,Star,2016-11-25,3939.01,Standard,0,110.2
57,645280,Natalya Boardwine,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,male,Bachelor,Suburban,60021.0,Married,Star,2015-12-15,3939.01,Standard,0,121.7
58,864324,Cherri Flavell,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Rural,60021.0,Married,Star,2021-06-03,3939.01,Standard,0,55.1
59,124678,Eddie Ribsamen,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,male,Doctor,Urban,18375.0,Married,Star,2016-06-13,3954.34,Standard,0,115.7
60,186015,Florrie Thach,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Rural,18375.0,Married,Star,2018-09-05,3954.34,Standard,0,88.5
61,461108,Polly Mayville,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Doctor,Urban,18375.0,Married,Star,2021-10-15,3954.34,Standard,0,50.7
62,589580,Elodia Kieffer,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Doctor,Suburban,18375.0,Married,Star,2018-08-27,3954.34,Standard,0,88.8
63,623688,Dwayne Cimaglia,Ontario,London,42.984924,-81.245277,M5B 3E4,female,Doctor,Rural,18375.0,Married,Star,2019-05-07,3954.34,Standard,0,80.4
64,751616,Rocco Niederhauser,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Suburban,18375.0,Married,Star,2021-04-17,3954.34,2021 Promotion,0,56.7
65,256147,Joleen Gessford,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Suburban,0.0,Married,Star,2015-09-04,3958.0,Standard,0,125.1
66,329382,Ngoc Dubuisson,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,College,Suburban,0.0,Single,Star,2015-08-27,3961.59,2021 Promotion,0,125.4
67,140392,Hilary Shain,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,88701.0,Married,Star,2016-07-22,3963.39,Standard,0,114.4
68,541008,Jeanmarie Resch,Ontario,London,42.984924,-81.245277,M5B 3E4,male,Bachelor,Suburban,38096.0,Divorced,Star,2021-04-04,3963.4,2021 Promotion,0,57.1
69,230908,Carmelia Burkham,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Suburban,23474.0,Divorced,Star,2015-05-27,3964.15,Standard,0,128.4
70,972581,Quiana Ciolli,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,High School or Below,Rural,14616.0,Married,Star,2019-02-13,3964.53,Standard,0,83.2
71,157729,Tobi Kriss,British Columbia,Victoria,48.428421,-123.36565,V5R 1W3,male,Bachelor,Rural,72439.0,Married,Star,2021-03-18,3966.13,2021 Promotion,0,57.7
72,910875,Alaina Rumble,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Bachelor,Urban,72439.0,Married,Star,2015-11-03,3966.13,Standard,0,123.1
73,501704,Jadwiga Howry,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,College,Suburban,0.0,Divorced,Star,2016-05-03,3974.86,Standard,0,117.0
74,529098,Sherril Roofner,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Urban,0.0,Divorced,Star,2020-10-23,3974.86,Standard,0,62.6
75,567875,Lady Tlumacki,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Suburban,96413.0,Married,Star,2020-05-15,3979.72,Standard,0,67.9
76,688524,Darius Dehnert,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,98333.0,Married,Star,2016-03-26,3980.42,Standard,0,118.3
77,269070,Virginia Swida,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Master,Rural,17220.0,Married,Star,2016-01-14,3985.32,Standard,0,120.7
78,387705,Paulene Saluan,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Master,Suburban,17220.0,Married,Star,2016-04-30,3985.32,Standard,0,117.1
79,923293,Lauretta Craze,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,male,Bachelor,Suburban,75007.0,Divorced,Star,2019-06-12,3985.55,Standard,0,79.2
80,283314,Vi Scialdone,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Suburban,54964.0,Married,Star,2016-04-17,3991.73,Standard,1,21.9
81,322102,Hermelinda Hilst,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Suburban,0.0,Married,Star,2016-08-19,3992.58,Standard,1,8.1
82,789157,Lenora Millhiser,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Rural,0.0,Single,Star,2021-09-25,3995.36,Standard,0,51.3
83,654748,Lona Hyer,Ontario,Ottawa,45.421532,-75.697189,V5R 1W3,female,Bachelor,Rural,46210.0,Married,Star,2020-04-03,3996.77,Standard,1,8.1
84,984713,Remedios Swinea,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,College,Suburban,0.0,Single,Star,2021-08-04,3997.48,Standard,0,53.1
85,114835,Willard Powal,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Master,Suburban,19782.0,Divorced,Star,2020-07-03,4001.52,Standard,0,66.3
86,328936,Yvonne Tear,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Suburban,28987.0,Married,Star,2018-03-21,4005.72,Standard,0,94.1
87,845864,Josue Disalvi,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Doctor,Urban,15413.0,Married,Star,2016-04-24,4013.85,Standard,0,117.3
88,645265,Stella Nageotte,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,56586.0,Married,Star,2016-03-05,4013.95,Standard,0,119.0
89,223587,Nelia Gallipo,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Rural,93284.0,Married,Star,2020-08-20,4013.96,Standard,0,64.7
90,158560,Hulda Kvam,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Suburban,37384.0,Married,Star,2018-12-11,4014.45,Standard,0,85.3
91,417584,Lucina Moncion,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Suburban,37384.0,Married,Star,2017-05-17,4014.45,Standard,0,104.4
92,566033,Cruz Arlt,Ontario,Toronto,43.653225,-79.383186,V5R 1W3,male,College,Urban,0.0,Married,Star,2018-06-16,4015.21,Standard,1,13.4
93,957912,Lacy Georgopoulos,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,80055.0,Married,Star,2021-02-17,4015.34,2021 Promotion,0,58.7
94,425854,Tobi Sather,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,High School or Below,Rural,10074.0,Married,Star,2019-11-22,4016.13,Standard,0,73.8
95,174896,Freeman Decristoforo,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,College,Urban,0.0,Single,Star,2018-04-16,4016.54,Standard,1,8.1
96,695855,Mac Dering,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,College,Suburban,0.0,Divorced,Star,2016-04-07,4019.38,Standard,0,117.9
97,699511,Tiffany Baradi,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,College,Rural,0.0,Divorced,Star,2017-07-06,4019.38,Standard,0,102.7
98,377322,Lura Blyden,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Urban,41833.0,Married,Star,2019-05-08,4023.81,Standard,0,80.4
99,511053,Meghan Douyon,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Suburban,41833.0,Married,Star,2018-03-13,4023.81,Standard,0,94.4
100,890753,Faustina Sempek,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,College,Urban,0.0,Married,Star,2020-09-02,4025.1,Standard,0,64.3
101,796670,Maryetta Castera,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Suburban,21359.0,Married,Star,2017-02-12,4035.68,Standard,0,107.5
102,556136,Grisel Kapps,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,College,Rural,0.0,Married,Star,2020-01-25,4035.77,Standard,0,71.6
103,513081,Louis Beaucage,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Rural,90760.0,Married,Star,2018-11-05,4037.5,Standard,0,86.5
104,930718,Willena Ledee,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,High School or Below,Suburban,21586.0,Married,Star,2018-07-14,4037.55,Standard,0,90.3
105,235872,Ima Ghiloni,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,Doctor,Urban,13330.0,Single,Star,2016-03-20,4046.94,Standard,0,118.5
106,881142,Luanna Hatlee,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,female,Doctor,Suburban,13330.0,Single,Star,2019-09-27,4046.94,Standard,1,8.1
107,295147,Timothy Loli,British Columbia,Kelowna,49.887951,-119.49601,V5R 1W3,male,Bachelor,Urban,92801.0,Married,Star,2020-05-21,4048.16,Standard,0,67.7
108,306110,Janel Ynocencio,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,44661.0,Married,Star,2016-05-12,4053.37,Standard,0,116.7
109,295217,Ruthanne Cavicchi,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Doctor,Urban,11621.0,Divorced,Star,2019-06-06,4059.57,Standard,0,79.4
110,711363,Mariella Corkron,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,male,College,Suburban,0.0,Married,Star,2021-04-24,4064.11,2021 Promotion,1,8.1
111,591731,Mindy Sadee,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,male,Bachelor,Rural,26599.0,Married,Star,2016-09-25,4064.18,Standard,0,112.2
112,326905,Joel Guyette,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,College,Urban,0.0,Married,Star,2020-02-07,4068.09,Standard,0,71.2
113,375511,Brandon Geissler,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Urban,37435.0,Single,Star,2017-07-06,4070.05,Standard,0,102.7
114,485283,Magali Bilich,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,96443.0,Single,Star,2020-09-05,4072.85,Standard,0,64.2
115,760158,Claudette Ganga,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,29549.0,Divorced,Star,2021-02-18,4076.63,2021 Promotion,0,58.6
116,797685,Malka Policicchio,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Suburban,0.0,Married,Star,2020-06-03,4079.13,Standard,0,67.3
117,216467,Misti Hussein,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,male,Doctor,Suburban,13483.0,Married,Star,2017-07-13,4083.56,Standard,0,102.5
118,958839,Carleen Isaac,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,Doctor,Rural,13483.0,Married,Star,2021-08-16,4083.56,Standard,0,52.7
119,539673,Song Wiesen,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,Bachelor,Urban,24123.0,Married,Star,2018-02-20,4087.51,Standard,1,40.1
120,484718,Rubi Mccluney,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,60759.0,Single,Star,2015-06-24,4089.46,Standard,0,127.5
121,528492,Lynn Chestnut,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,38884.0,Married,Star,2018-06-09,4090.75,Standard,1,41.9
122,995091,Devon Arns,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Suburban,32180.0,Married,Star,2020-09-15,4095.2,Standard,0,63.8
123,632793,Kenneth Mcfan,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,High School or Below,Suburban,20079.0,Single,Star,2019-06-21,4097.37,Standard,0,78.9
124,912220,Jammie Hyon,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,High School or Below,Suburban,20079.0,Single,Star,2016-08-18,4097.37,Standard,1,8.1
125,382197,Marianne Kirtley,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Rural,51193.0,Married,Star,2020-10-30,4100.47,Standard,1,8.1
126,705196,Eddy Bitner,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,2016-11-26,4101.94,Standard,0,110.1
127,123094,Clara Driesenga,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Urban,82427.0,Married,Star,2021-01-16,4103.85,Standard,0,59.7
128,821515,Tabitha Forkey,British Columbia,Dawson Creek,55.759628,-120.23766,V5R 1W3,female,Bachelor,Rural,39492.0,Married,Star,2021-03-12,4105.58,2021 Promotion,0,57.9
129,119488,Britteny Course,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,College,Suburban,0.0,Single,Star,2020-06-27,4108.26,Standard,0,66.5
130,287750,Angella Kuchta,Ontario,Ottawa,45.421532,-75.697189,V5R 1W3,female,College,Rural,0.0,Single,Star,2015-08-21,4109.31,Standard,0,125.6
131,735846,Warner Brogley,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Rural,86657.0,Married,Star,2015-08-31,4109.79,Standard,0,125.2
132,606026,Joyce Cocca,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Suburban,31842.0,Single,Star,2018-07-24,4110.62,Standard,0,90.0
133,460291,Yolando Pecue,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,Bachelor,Urban,32210.0,Divorced,Star,2018-09-02,4111.2,Standard,0,88.6
134,743001,Verdell Mcdearmon,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Suburban,65085.0,Married,Star,2020-05-14,4111.89,Standard,0,68.0
135,869799,Calista Brucken,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,female,Bachelor,Urban,65085.0,Married,Star,2018-03-17,4111.89,Standard,0,94.3
136,520321,Rachele Mazingo,Ontario,London,42.984924,-81.245277,M5B 3E4,female,Doctor,Suburban,25030.0,Married,Star,2018-09-12,4112.84,Standard,1,8.1
137,170585,Kimiko Saturnio,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,Bachelor,Urban,69379.0,Single,Star,2016-08-28,4118.59,Standard,0,113.1
138,188340,Mai Husain,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Urban,69379.0,Single,Star,2020-04-22,4118.59,Standard,0,68.7
139,670817,Caitlin Bulman,Ontario,Ottawa,45.421532,-75.697189,V5R 1W3,male,Bachelor,Rural,69379.0,Single,Star,2019-12-16,4118.59,Standard,0,73.0
140,509513,Billy Mearse,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Rural,0.0,Single,Star,2015-12-09,4121.25,Standard,0,121.9
141,779247,Tesha Deeley,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,male,Bachelor,Urban,75272.0,Married,Star,2015-09-19,4122.57,Standard,0,124.6
142,111255,Norene Barahona,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,High School or Below,Urban,24732.0,Married,Star,2016-03-02,4122.96,Standard,0,119.1
143,763061,Valene Brayman,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,male,Bachelor,Urban,34080.0,Married,Star,2017-04-04,4126.61,Standard,0,105.8
144,509108,Letha Vancleve,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Urban,0.0,Single,Star,2021-04-13,4132.59,2021 Promotion,0,56.8
145,428919,Leona Parraga,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,female,Bachelor,Suburban,35945.0,Divorced,Star,2018-07-25,4139.9,Standard,0,89.9
146,139863,Ariel Greenberg,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Rural,48263.0,Married,Star,2018-10-10,4142.56,Standard,0,87.4
147,695755,Horace Astolfi,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,Bachelor,Urban,64478.0,Married,Star,2015-04-03,4144.87,Standard,0,130.2
148,355331,Angelo Kyler,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,College,Suburban,0.0,Divorced,Star,2016-07-07,4145.02,Standard,0,114.9
149,578837,Carmelia Carbonneau,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,male,College,Rural,0.0,Single,Star,2015-05-07,4152.65,Standard,0,129.1
150,603248,Lynwood Overmyer,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Suburban,0.0,Married,Star,2019-02-10,4157.7,Standard,1,8.1
151,467182,Hubert Rattay,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Rural,96263.0,Married,Star,2016-12-25,4160.02,Standard,1,58.7
152,601407,Karena Cardone,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Rural,55897.0,Married,Star,2018-09-13,4165.17,Standard,0,88.3
153,700871,Ilene Newman,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,female,Bachelor,Rural,58299.0,Married,Star,2018-12-26,4165.25,Standard,0,84.8
